metric,method,mean_rank,std_rank
acc,RF,1.3333333333333333,0.9428090415820635
acc,FOIL:dsgd_dempster,2.2777777777777777,0.9162456945817024
acc,FOIL:dsgd_yager,4.111111111111111,1.0743933114340953
acc,RIPPER:dsgd_dempster,4.222222222222222,1.5654447559561522
acc,FOIL:weighted_vote,4.611111111111111,1.4865653511399612
acc,RIPPER:weighted_vote,6.555555555555555,1.8324913891634047
acc,FOIL:first_hit_laplace,6.944444444444445,1.2120791238484128
acc,RIPPER:dsgd_yager,7.166666666666667,1.632993161855452
acc,RIPPER:first_hit_laplace,7.777777777777778,1.4740554623801778
ece,RF,1.4444444444444444,0.8314794192830981
ece,FOIL:dsgd_dempster,3.3333333333333335,1.699673171197595
ece,RIPPER:dsgd_dempster,3.7777777777777777,2.57240820062005
ece,FOIL:weighted_vote,5.222222222222222,1.6850834320114556
ece,FOIL:dsgd_yager,5.666666666666667,2.4037008503093262
ece,RIPPER:dsgd_yager,5.777777777777778,1.9876159799998132
ece,FOIL:first_hit_laplace,5.888888888888889,1.9116278371205837
ece,RIPPER:weighted_vote,6.111111111111111,1.9688939051854832
ece,RIPPER:first_hit_laplace,7.777777777777778,1.3966450099973926
macro_f1,RF,1.3333333333333333,0.9428090415820635
macro_f1,FOIL:dsgd_dempster,2.111111111111111,0.5665577237325317
macro_f1,RIPPER:dsgd_dempster,4.222222222222222,1.4550889837454215
macro_f1,FOIL:dsgd_yager,4.5,1.3333333333333333
macro_f1,FOIL:weighted_vote,4.722222222222222,1.4740554623801778
macro_f1,FOIL:first_hit_laplace,6.333333333333333,1.8856180831641267
macro_f1,RIPPER:weighted_vote,6.722222222222222,2.096440251568134
macro_f1,RIPPER:dsgd_yager,6.888888888888889,1.505135242682674
macro_f1,RIPPER:first_hit_laplace,8.166666666666666,0.881917103688197
nll,RF,1.2222222222222223,0.628539361054709
nll,FOIL:dsgd_dempster,3.0,2.160246899469287
nll,FOIL:dsgd_yager,3.888888888888889,1.4487116456005884
nll,RIPPER:dsgd_dempster,4.0,1.699673171197595
nll,FOIL:first_hit_laplace,5.444444444444445,1.1653431646335017
nll,RIPPER:dsgd_yager,5.555555555555555,1.9499920860871385
nll,FOIL:weighted_vote,7.0,2.211083193570267
nll,RIPPER:first_hit_laplace,7.222222222222222,1.0304020550550783
nll,RIPPER:weighted_vote,7.666666666666667,1.3333333333333333
precision,RF,1.5555555555555556,0.9558139185602919
precision,FOIL:dsgd_dempster,3.2222222222222223,2.042752923427804
precision,FOIL:dsgd_yager,4.166666666666667,1.4529663145135578
precision,FOIL:weighted_vote,4.277777777777778,1.6850834320114558
precision,RIPPER:dsgd_dempster,5.0,1.3944333775567925
precision,FOIL:first_hit_laplace,6.444444444444445,1.892154040658489
precision,RIPPER:first_hit_laplace,6.5,3.073181485764296
precision,RIPPER:weighted_vote,6.5,1.9148542155126762
precision,RIPPER:dsgd_yager,7.333333333333333,1.5456030825826172
recall,RF,1.4444444444444444,0.9558139185602919
recall,FOIL:dsgd_dempster,2.111111111111111,0.5665577237325317
recall,RIPPER:dsgd_dempster,4.555555555555555,1.4803236216082476
recall,FOIL:dsgd_yager,4.611111111111111,1.4865653511399612
recall,FOIL:weighted_vote,4.833333333333333,1.855921454276674
recall,FOIL:first_hit_laplace,6.111111111111111,1.9116278371205837
recall,RIPPER:weighted_vote,6.5,2.260776661041756
recall,RIPPER:dsgd_yager,6.555555555555555,1.6235154662447175
recall,RIPPER:first_hit_laplace,8.277777777777779,0.9162456945817024
unc_comb,FOIL:dsgd_dempster,1.1111111111111112,0.3142696805273545
unc_comb,RIPPER:dsgd_dempster,2.111111111111111,0.5665577237325317
unc_comb,FOIL:dsgd_yager,2.888888888888889,0.5665577237325317
unc_comb,RIPPER:dsgd_yager,3.888888888888889,0.3142696805273545
unc_mean,FOIL:dsgd_dempster,1.7222222222222223,0.628539361054709
unc_mean,FOIL:dsgd_yager,1.7222222222222223,0.628539361054709
unc_mean,RIPPER:dsgd_dempster,3.2777777777777777,0.628539361054709
unc_mean,RIPPER:dsgd_yager,3.2777777777777777,0.628539361054709
