Dataset,Subset,Algo,Method,Acc,F1,Omega,NLL,ECE
BrainTumor,inliers,FOIL,Dempster,0.9280442804428044,0.9205702647657841,0.25951358675956726,0.26088173944923826,0.1513259569949988
BrainTumor,inliers,FOIL,Vote,0.988929889298893,0.9868421052631579,0.0,0.1621086285016527,0.0067650676496910835
BrainTumor,inliers,FOIL,Yager,0.9280442804428044,0.9205702647657841,0.3608388602733612,0.3233609646822924,0.2035140219822502
BrainTumor,inliers,RIPPER,Dempster,0.9760147601476015,0.9721627408993576,0.1455748975276947,0.20571912989862823,0.14584160352749911
BrainTumor,inliers,RIPPER,Vote,0.9833948339483395,0.980561555075594,0.0,0.13444003381392733,0.047408188516850226
BrainTumor,inliers,RIPPER,Yager,0.9723247232472325,0.9680170575692963,0.2981303930282593,0.2983088981090114,0.21890934178803087
BrainTumor,outliers,FOIL,Dempster,0.95,0.9620253164556962,0.4132165312767029,0.4065139417895388,0.28140025213387987
BrainTumor,outliers,FOIL,Vote,0.9833333333333333,0.987012987012987,0.0,0.46423607778836284,0.019999999999016426
BrainTumor,outliers,FOIL,Yager,0.95,0.9620253164556962,0.47123080492019653,0.43913355853862784,0.28236118306065106
BrainTumor,outliers,RIPPER,Dempster,0.9833333333333333,0.9873417721518988,0.1547335982322693,0.24841401857222806,0.19605777613016553
BrainTumor,outliers,RIPPER,Vote,1.0,1.0,0.0,0.14108461965647848,0.11361111103725556
BrainTumor,outliers,RIPPER,Yager,0.9666666666666667,0.975,0.31109458208084106,0.33744104589164237,0.24984923673072568
SAheart,inliers,FOIL,Dempster,0.6567164179104478,0.43902439024390244,0.46384137868881226,0.5991938738513612,0.10561975551160482
SAheart,inliers,FOIL,Vote,0.6716417910447762,0.42105263157894735,0.0,5.995989746517527,0.2485074625969482
SAheart,inliers,FOIL,Yager,0.6716417910447762,0.47619047619047616,0.49182790517807007,0.5938053529696891,0.1127827386310666
SAheart,inliers,RIPPER,Dempster,0.7014925373134329,0.2857142857142857,0.15136797726154327,0.7502607581179734,0.21788267019188803
SAheart,inliers,RIPPER,Vote,0.6268656716417911,0.4186046511627907,0.0,2.2110442975709925,0.14964463423658206
SAheart,inliers,RIPPER,Yager,0.7014925373134329,0.2857142857142857,0.22177834808826447,0.718714035411234,0.20216900851870775
SAheart,outliers,FOIL,Dempster,0.42857142857142855,0.5,0.3937428295612335,0.6155730206421411,0.39597155815186397
SAheart,outliers,FOIL,Vote,0.42857142857142855,0.5,0.0,4.360198981975531,0.4047619047613332
SAheart,outliers,FOIL,Yager,0.42857142857142855,0.5,0.43175584077835083,0.6205290111445897,0.39835695254615533
SAheart,outliers,RIPPER,Dempster,0.5714285714285714,0.4,0.09995361417531967,0.692843074559504,0.2814031065568998
SAheart,outliers,RIPPER,Vote,0.7142857142857143,0.6666666666666666,0.0,0.45581499184777874,0.20612244873630758
SAheart,outliers,RIPPER,Yager,0.5714285714285714,0.4,0.2578440010547638,0.6470695486723586,0.3239343622394401
adult,inliers,FOIL,Dempster,0.8468800368408934,0.6735395189003437,0.1580910086631775,0.3528012039248982,0.021500984244997332
adult,inliers,FOIL,Vote,0.8344462353212065,0.6107200866269626,0.0,1.2121413235371958,0.05193359880717387
adult,inliers,FOIL,Yager,0.847801059175685,0.6726102030708272,0.23651163280010223,0.34197235947725535,0.024334330556541724
adult,inliers,RIPPER,Dempster,0.8422749251669353,0.6956908040870724,0.0005154050886631012,0.33021063891024843,0.016928073219568594
adult,inliers,RIPPER,Vote,0.8445774810039144,0.6268656716417911,0.0,0.46602641319258126,0.07189904886786998
adult,inliers,RIPPER,Yager,0.8125719548699056,0.6476190476190476,0.30844858288764954,0.48678869771471583,0.14251920501955542
adult,outliers,FOIL,Dempster,0.855072463768116,0.6846846846846847,0.13649412989616394,0.35619011485099467,0.038499464567819046
adult,outliers,FOIL,Vote,0.855072463768116,0.65,0.0,1.275126843002637,0.05702947844015734
adult,outliers,FOIL,Yager,0.8530020703933747,0.6787330316742082,0.22356142103672028,0.33020535533743817,0.029008338989394762
adult,outliers,RIPPER,Dempster,0.8592132505175983,0.7142857142857143,0.0005192802054807544,0.30218943944799453,0.02214539243367475
adult,outliers,RIPPER,Vote,0.8571428571428571,0.6666666666666666,0.0,0.5022012387403021,0.09401759493013061
adult,outliers,RIPPER,Yager,0.8198757763975155,0.6419753086419753,0.30415233969688416,0.471021889901662,0.14159341395685457
bank-full,inliers,FOIL,Dempster,0.9076946705575181,0.5012448132780083,0.0988258644938469,0.2464630171870648,0.014097182390750489
bank-full,inliers,FOIL,Vote,0.9049301182614038,0.3558792924037461,0.0,0.7229268293877671,0.037263927753700424
bank-full,inliers,FOIL,Yager,0.9076946705575181,0.4987489574645538,0.20275568962097168,0.23463713526419747,0.04744989678971218
bank-full,inliers,RIPPER,Dempster,0.9063123944094609,0.5579710144927537,0.060345593839883804,0.21545924844714462,0.006616007381782146
bank-full,inliers,RIPPER,Vote,0.9135309476270926,0.43417085427135677,0.0,0.3227854758714111,0.056184717815595094
