Dataset,Experiment,System,Accuracy,F1,Precision,Recall,Uncertainty
Brain Tumor,bench,bench:baseline_dt,0.9850498338870431,0.9832402234636872,0.9850746268656716,0.9814126394052044,
Brain Tumor,bench,bench:baseline_gb,0.9933554817275748,0.99250936329588,1.0,0.9851301115241636,
Brain Tumor,bench,bench:baseline_rf,0.9933554817275748,0.99250936329588,1.0,0.9851301115241636,
Brain Tumor,stable,stable:f_dst,0.9883720930232558,0.9868667917448404,0.9962121212121212,0.9776951672862454,0.3620885610580444
Brain Tumor,stable,stable:f_raw,0.9883720930232558,0.9868667917448404,0.9962121212121212,0.9776951672862454,
Brain Tumor,stable,stable:r_dst,0.9900332225913622,0.9888059701492538,0.99250936329588,0.9851301115241636,0.482501357793808
Brain Tumor,stable,stable:r_raw,0.9850498338870431,0.9833641404805916,0.9779411764705882,0.9888475836431226,
Brain Tumor,stable,stable:s_dst,0.9418604651162792,0.9338374291115312,0.95,0.9182156133828996,0.7936282753944397
SAheart,bench,bench:baseline_dt,0.5135135135135135,0.4375,0.4242424242424242,0.4516129032258064,
SAheart,bench,bench:baseline_gb,0.6081081081081081,0.4313725490196078,0.55,0.3548387096774194,
SAheart,bench,bench:baseline_rf,0.581081081081081,0.4745762711864407,0.5,0.4516129032258064,
SAheart,stable,stable:f_dst,0.6486486486486487,0.5517241379310345,0.5925925925925926,0.5161290322580645,0.7098942995071411
SAheart,stable,stable:f_raw,0.6081081081081081,0.4313725490196078,0.55,0.3548387096774194,
SAheart,stable,stable:r_dst,0.6081081081081081,0.4313725490196078,0.55,0.3548387096774194,0.7638608813285828
SAheart,stable,stable:r_raw,0.6081081081081081,0.5084745762711864,0.5357142857142857,0.4838709677419355,
SAheart,stable,stable:s_dst,0.6081081081081081,0.5245901639344263,0.5333333333333333,0.5161290322580645,0.8001007437705994
adult,bench,bench:baseline_dt,0.8120596767509325,0.6241193535018649,0.6212871287128713,0.626977518734388,
adult,bench,bench:baseline_gb,0.8686282635723166,0.6992409867172675,0.8125689084895259,0.6136552872606161,
adult,bench,bench:baseline_rf,0.8648984666390386,0.7036363636363636,0.7747747747747747,0.6444629475437136,
adult,stable,stable:f_dst,0.8510153336096146,0.6777229941730166,0.7339805825242719,0.6294754371357202,0.5288935899734497
adult,stable,stable:f_raw,0.8365105677579776,0.6145578895945286,0.7434988179669031,0.5237302248126561,
adult,stable,stable:r_dst,0.8493576460837132,0.6915570640644888,0.7050173010380623,0.678601165695254,0.622657060623169
adult,stable,stable:r_raw,0.8458350600911728,0.6309523809523809,0.7803680981595092,0.5295587010824313,
adult,stable,stable:s_dst,0.8392043099875673,0.6980544747081712,0.6552227903579255,0.7468776019983348,0.7748164534568787
bank-full,bench,bench:baseline_dt,0.8740669062759193,0.466315172817809,0.462253193960511,0.4704491725768321,
bank-full,bench,bench:baseline_gb,0.903511197124689,0.4798807749627422,0.6491935483870968,0.3806146572104019,
bank-full,bench,bench:baseline_rf,0.9059994470555708,0.5156695156695157,0.6487455197132617,0.4278959810874704,
bank-full,stable,stable:f_dst,0.8960464473320431,0.5091383812010444,0.5685131195335277,0.4609929078014184,0.4933824837207794
bank-full,stable,stable:f_raw,0.890931711363008,0.388845855925639,0.5640449438202247,0.2966903073286052,
bank-full,stable,stable:r_dst,0.8927287807575338,0.558589306029579,0.5383771929824561,0.5803782505910166,0.6193971633911133
bank-full,stable,stable:r_raw,0.8967376278683993,0.4396099024756189,0.6016427104722792,0.3463356973995272,
bank-full,stable,stable:s_dst,0.8642521426596627,0.487473903966597,0.4364485981308411,0.5520094562647754,0.7932078838348389
breast-cancer-wisconsin,bench,bench:baseline_dt,0.9363636363636364,0.9090909090909092,0.8974358974358975,0.9210526315789472,
breast-cancer-wisconsin,bench,bench:baseline_gb,0.9636363636363636,0.95,0.9047619047619048,1.0,
breast-cancer-wisconsin,bench,bench:baseline_rf,0.9636363636363636,0.95,0.9047619047619048,1.0,
breast-cancer-wisconsin,stable,stable:f_dst,0.9545454545454546,0.935064935064935,0.9230769230769232,0.9473684210526316,0.6774851679801941
breast-cancer-wisconsin,stable,stable:f_raw,0.9545454545454546,0.935064935064935,0.9230769230769232,0.9473684210526316,
breast-cancer-wisconsin,stable,stable:r_dst,0.9636363636363636,0.9487179487179488,0.925,0.9736842105263158,0.6950336694717407
breast-cancer-wisconsin,stable,stable:r_raw,0.9363636363636364,0.9041095890410958,0.9428571428571428,0.868421052631579,
breast-cancer-wisconsin,stable,stable:s_dst,0.9636363636363636,0.95,0.9047619047619048,1.0,0.7872502207756042
df_wine,bench,bench:baseline_dt,0.7615384615384615,0.7936772046589018,0.775609756097561,0.8126064735945485,
df_wine,bench,bench:baseline_gb,0.7423076923076923,0.7869634340222575,0.7377049180327869,0.8432708688245315,
df_wine,bench,bench:baseline_rf,0.8192307692307692,0.8456486042692939,0.8161648177496038,0.8773424190800682,
df_wine,stable,stable:f_dst,0.7163461538461539,0.7599674532139952,0.7274143302180686,0.7955706984667802,0.6356915831565857
df_wine,stable,stable:f_raw,0.6721153846153847,0.6902815622161671,0.7392996108949417,0.6473594548551959,
df_wine,stable,stable:r_dst,0.7230769230769231,0.7692307692307693,0.7261724659606656,0.817717206132879,0.7804586887359619
df_wine,stable,stable:r_raw,0.6125,0.5949748743718593,0.7254901960784313,0.504258943781942,
df_wine,stable,stable:s_dst,0.7038461538461539,0.7437603993344426,0.7268292682926829,0.7614991482112436,0.7996209859848022
gas_drift,bench,bench:baseline_dt,0.9761904761904762,0.9762345153426156,0.9763640676075316,0.9761904761904762,
gas_drift,bench,bench:baseline_gb,0.9923629829290208,0.9923571304621748,0.9923716816879662,0.9923629829290208,
gas_drift,bench,bench:baseline_rf,0.9937106918238994,0.9937046757099258,0.9937499197025242,0.9937106918238994,
gas_drift,stable,stable:f_dst,0.981581311769991,0.9816172468998008,0.982106268940616,0.981581311769991,0.0287350062280893
gas_drift,stable,stable:f_raw,0.9829290206648698,0.9829351927650416,0.9832972035983852,0.9829290206648698,
gas_drift,stable,stable:r_dst,0.9793351302785264,0.9793556397676432,0.979556432393558,0.9793351302785264,0.1864535957574844
gas_drift,stable,stable:r_raw,0.9703504043126684,0.9704431822861196,0.9708808615991176,0.9703504043126684,
gas_drift,stable,stable:s_dst,0.9344115004492364,0.9344703837906804,0.9350255354502692,0.9344115004492364,0.645677924156189
german,bench,bench:baseline_dt,0.7125,0.5306122448979592,0.52,0.5416666666666666,
german,bench,bench:baseline_gb,0.7875,0.6046511627906976,0.6842105263157895,0.5416666666666666,
german,bench,bench:baseline_rf,0.8,0.5897435897435898,0.7666666666666667,0.4791666666666667,
german,stable,stable:f_dst,0.73125,0.4415584415584415,0.5862068965517241,0.3541666666666667,0.6123092770576477
german,stable,stable:f_raw,0.725,0.4210526315789473,0.5714285714285714,0.3333333333333333,
german,stable,stable:r_dst,0.74375,0.5060240963855421,0.6,0.4375,0.748677134513855
german,stable,stable:r_raw,0.71875,0.4444444444444444,0.5454545454545454,0.375,
german,stable,stable:s_dst,0.73125,0.5742574257425742,0.5471698113207547,0.6041666666666666,0.7975641489028931
