Epoch,Test_Accuracy,Test_Loss,Dataset_ID,Rule_Variant
1,0.9710144927536232,0.5143712759017944,1,3
2,0.9855072463768116,0.5155846476554871,1,3
3,0.9855072463768116,0.5129399299621582,1,3
4,0.9855072463768116,0.5152568817138672,1,3
5,0.9855072463768116,0.510464072227478,1,3
6,0.9710144927536232,0.5204460620880127,1,3
7,0.9855072463768116,0.5076636075973511,1,3
8,0.9710144927536232,0.5189505219459534,1,3
9,0.9855072463768116,0.4985123872756958,1,3
10,1.0,0.4914887547492981,1,3
11,1.0,0.5032359957695007,1,3
12,0.9710144927536232,0.5021317005157471,1,3
13,0.9565217391304348,0.5068262219429016,1,3
14,0.9420289855072465,0.5153895020484924,1,3
15,0.9565217391304348,0.5133940577507019,1,3
16,0.927536231884058,0.5161365270614624,1,3
17,0.9710144927536232,0.5080503821372986,1,3
18,0.9855072463768116,0.5009396076202393,1,3
19,0.9855072463768116,0.4997127950191498,1,3
20,1.0,0.4987290501594543,1,3
21,0.9710144927536232,0.5011181235313416,1,3
22,1.0,0.4989660978317261,1,3
23,1.0,0.4982593953609466,1,3
24,1.0,0.4961461722850799,1,3
25,1.0,0.4958217442035675,1,3
26,1.0,0.4950662553310394,1,3
27,1.0,0.4947274327278137,1,3
28,1.0,0.494796872138977,1,3
29,1.0,0.4942266047000885,1,3
30,1.0,0.4940204918384552,1,3
1,1.0,0.4983330368995666,1,5
2,1.0,0.4976542294025421,1,5
3,0.9855072463768116,0.4993317127227783,1,5
4,0.9855072463768116,0.4990449845790863,1,5
5,1.0,0.4938379824161529,1,5
6,0.9710144927536232,0.5059388875961304,1,5
7,0.9855072463768116,0.4990421235561371,1,5
8,0.9855072463768116,0.5012966990470886,1,5
9,0.9855072463768116,0.5009075999259949,1,5
10,0.9855072463768116,0.4973277151584625,1,5
11,0.9855072463768116,0.4985263049602508,1,5
12,0.9855072463768116,0.4997515380382538,1,5
13,1.0,0.4960905313491821,1,5
14,0.9855072463768116,0.5001860857009888,1,5
15,1.0,0.4937449991703033,1,5
16,1.0,0.4941603541374206,1,5
17,1.0,0.4949334859848022,1,5
18,1.0,0.4962442517280578,1,5
19,1.0,0.4953514337539673,1,5
20,1.0,0.4950686395168304,1,5
21,1.0,0.4959108233451843,1,5
22,1.0,0.495628148317337,1,5
23,1.0,0.4956414103507995,1,5
24,1.0,0.4978528320789337,1,5
25,1.0,0.4966775178909302,1,5
26,1.0,0.4966421723365783,1,5
27,1.0,0.4974677562713623,1,5
28,1.0,0.4954565763473511,1,5
29,1.0,0.4956972002983093,1,5
30,1.0,0.4979327619075775,1,5
1,0.8421052631578947,0.560922384262085,2,3
2,0.8771929824561403,0.5467768311500549,2,3
3,0.8947368421052632,0.5403594970703125,2,3
4,0.8947368421052632,0.5376599431037903,2,3
5,0.8947368421052632,0.5353017449378967,2,3
6,0.912280701754386,0.5336889028549194,2,3
7,0.912280701754386,0.5324034690856934,2,3
8,0.912280701754386,0.531629741191864,2,3
9,0.912280701754386,0.5303840637207031,2,3
10,0.9298245614035088,0.5297238826751709,2,3
11,0.9298245614035088,0.529013454914093,2,3
12,0.9298245614035088,0.528740644454956,2,3
13,0.9298245614035088,0.5278860926628113,2,3
14,0.9473684210526316,0.5276733040809631,2,3
15,0.9473684210526316,0.5271206498146057,2,3
16,0.9473684210526316,0.5268577337265015,2,3
17,0.9473684210526316,0.5266931653022766,2,3
18,0.9473684210526316,0.5259498357772827,2,3
19,0.9473684210526316,0.5257408618927002,2,3
20,0.9473684210526316,0.5253843665122986,2,3
21,0.9473684210526316,0.525073766708374,2,3
22,0.9473684210526316,0.524473249912262,2,3
23,0.9473684210526316,0.5241686105728149,2,3
24,0.912280701754386,0.5247029066085815,2,3
25,0.912280701754386,0.5247277021408081,2,3
26,0.9298245614035088,0.5235267281532288,2,3
27,0.9298245614035088,0.5231882333755493,2,3
28,0.9298245614035088,0.5229028463363647,2,3
29,0.9298245614035088,0.5229174494743347,2,3
30,0.912280701754386,0.5228502750396729,2,3
1,0.8245614035087719,0.5589162111282349,2,5
2,0.8245614035087719,0.5524413585662842,2,5
3,0.8596491228070176,0.5463675260543823,2,5
4,0.8771929824561403,0.5410580039024353,2,5
5,0.8947368421052632,0.5360609889030457,2,5
6,0.8947368421052632,0.5311226844787598,2,5
7,0.912280701754386,0.5272406935691833,2,5
8,0.912280701754386,0.5239872336387634,2,5
9,0.9473684210526316,0.5214762091636658,2,5
10,0.9649122807017544,0.5188620686531067,2,5
11,0.9649122807017544,0.5170376896858215,2,5
12,0.9649122807017544,0.515526294708252,2,5
13,0.9649122807017544,0.5141275525093079,2,5
14,0.9649122807017544,0.5131042003631592,2,5
15,0.9649122807017544,0.5120354890823364,2,5
16,0.9649122807017544,0.5113654136657715,2,5
17,0.9824561403508772,0.5107780694961548,2,5
18,0.9824561403508772,0.5103191137313843,2,5
19,0.9824561403508772,0.5099602937698364,2,5
20,0.9824561403508772,0.5097103714942932,2,5
21,0.9824561403508772,0.5095627307891846,2,5
22,0.9824561403508772,0.5095096826553345,2,5
23,0.9824561403508772,0.5094895362854004,2,5
24,0.9824561403508772,0.509526789188385,2,5
25,0.9824561403508772,0.5096390843391418,2,5
26,0.9824561403508772,0.5097722411155701,2,5
27,0.9649122807017544,0.5100101232528687,2,5
28,0.9649122807017544,0.5101686120033264,2,5
29,0.9649122807017544,0.5104608535766602,2,5
30,0.9649122807017544,0.5106686949729919,2,5
1,0.96,0.5420594215393066,3,3
2,0.96,0.5070332884788513,3,3
3,0.96,0.5070335268974304,3,3
4,0.96,0.5070339441299438,3,3
5,0.96,0.5070343613624573,3,3
6,0.96,0.5070345401763916,3,3
7,0.96,0.5070347785949707,3,3
8,0.96,0.5070347785949707,3,3
9,0.96,0.5070348978042603,3,3
10,0.96,0.507034957408905,3,3
11,0.96,0.507034957408905,3,3
12,0.96,0.5070350170135498,3,3
13,0.96,0.5070350766181946,3,3
14,0.96,0.5070350766181946,3,3
15,0.96,0.5070350766181946,3,3
16,0.96,0.5070350170135498,3,3
17,0.96,0.5070350766181946,3,3
