metric,method,mean_rank,std_rank
acc,RF,1.2222222222222223,0.628539361054709
acc,RIPPER:dsgd_dempster,3.2777777777777777,1.827431578155392
acc,FOIL:dsgd_dempster,4.111111111111111,1.264422964082338
acc,FOIL:weighted_vote,4.388888888888889,1.696037502497083
acc,RIPPER:weighted_vote,4.444444444444445,1.6905693394114376
acc,FOIL:first_hit_laplace,6.166666666666667,1.7159383568311666
acc,FOIL:native_ordered_rule,6.166666666666667,1.7159383568311666
acc,RIPPER:first_hit_laplace,7.611111111111111,1.6629588385661962
acc,RIPPER:native_ordered_rule,7.611111111111111,1.6629588385661962
ece,RF,2.2222222222222223,1.4740554623801776
ece,FOIL:weighted_vote,4.0,1.9436506316151
ece,RIPPER:weighted_vote,4.111111111111111,1.5234788000891208
ece,RIPPER:dsgd_dempster,4.666666666666667,3.055050463303893
ece,FOIL:first_hit_laplace,4.888888888888889,2.0245407953653998
ece,FOIL:dsgd_dempster,5.222222222222222,2.9731307022799225
ece,FOIL:native_ordered_rule,6.0,2.260776661041756
ece,RIPPER:first_hit_laplace,6.444444444444445,1.1653431646335017
ece,RIPPER:native_ordered_rule,7.444444444444445,2.0608041101101566
macro_f1,RF,1.0,0.0
macro_f1,RIPPER:dsgd_dempster,3.2777777777777777,1.9594657876164885
macro_f1,RIPPER:weighted_vote,4.055555555555555,1.3425606637327303
macro_f1,FOIL:dsgd_dempster,4.166666666666667,1.0540925533894598
macro_f1,FOIL:weighted_vote,4.611111111111111,1.7284832429004495
macro_f1,FOIL:first_hit_laplace,6.333333333333333,1.5986105077709065
macro_f1,FOIL:native_ordered_rule,6.333333333333333,1.5986105077709065
macro_f1,RIPPER:first_hit_laplace,7.611111111111111,1.6629588385661962
macro_f1,RIPPER:native_ordered_rule,7.611111111111111,1.6629588385661962
nll,RF,1.0,0.0
nll,RIPPER:dsgd_dempster,3.3333333333333335,2.0548046676563256
nll,FOIL:dsgd_dempster,3.7777777777777777,1.617802197617893
nll,FOIL:first_hit_laplace,3.888888888888889,1.4487116456005886
nll,RIPPER:first_hit_laplace,4.888888888888889,0.9938079899999066
nll,RIPPER:weighted_vote,5.333333333333333,1.3333333333333333
nll,FOIL:weighted_vote,6.0,1.247219128924647
nll,FOIL:native_ordered_rule,8.0,0.816496580927726
nll,RIPPER:native_ordered_rule,8.777777777777779,0.41573970964154905
precision,RF,2.2222222222222223,1.8724777273725242
precision,FOIL:dsgd_dempster,3.7222222222222223,1.6517854163687227
precision,RIPPER:dsgd_dempster,4.055555555555555,2.2166597048066667
precision,FOIL:weighted_vote,4.5,1.7638342073763937
precision,RIPPER:weighted_vote,4.611111111111111,2.2580446036557307
precision,FOIL:first_hit_laplace,5.333333333333333,2.1081851067789197
precision,FOIL:native_ordered_rule,5.333333333333333,2.1081851067789197
precision,RIPPER:first_hit_laplace,7.611111111111111,1.6629588385661962
precision,RIPPER:native_ordered_rule,7.611111111111111,1.6629588385661962
recall,RF,1.0,0.0
recall,RIPPER:dsgd_dempster,3.388888888888889,1.9116278371205837
recall,FOIL:dsgd_dempster,4.277777777777778,1.2717247935843996
recall,RIPPER:weighted_vote,4.388888888888889,2.1573875376608442
recall,FOIL:weighted_vote,4.5,1.5986105077709065
recall,FOIL:first_hit_laplace,6.222222222222222,1.617802197617893
recall,FOIL:native_ordered_rule,6.222222222222222,1.617802197617893
recall,RIPPER:first_hit_laplace,7.5,1.632993161855452
recall,RIPPER:native_ordered_rule,7.5,1.632993161855452
unc_comb,RIPPER:dsgd_dempster,1.1111111111111112,0.3142696805273545
unc_comb,FOIL:dsgd_dempster,1.8888888888888888,0.3142696805273545
unc_mean,FOIL:dsgd_dempster,1.3333333333333333,0.4714045207910317
unc_mean,RIPPER:dsgd_dempster,1.6666666666666667,0.4714045207910317
